Generated by pymatgen.io.lammps.data.LammpsData

3000  atoms

   4  atom types

0.000000 25.838570  xlo xhi
0.000000 29.758665  ylo yhi
0.000000 36.477960  zlo zhi
0.032340 -12.850355 -7.418770  xy xz yz

Masses

1   6.9410
2  51.9961
3  55.8450
4  15.9994

Atoms

457   1  0.5250  15.097053  6.702264  8.510957
458   1  0.5250  12.526982  5.218510 15.806549
459   1  0.5250   9.956911  3.734756 23.102141
460   1  0.5250   7.386840  2.251002 30.397733
461   1  0.5250  17.673592 14.137751  1.215365
462   1  0.5250  15.103521 12.653997  8.510957
463   1  0.5250  12.533450 11.170243 15.806549
464   1  0.5250   9.963379  9.686489 23.102141
465   1  0.5250   7.393308  8.202735 30.397733
466   1  0.5250  17.680060 20.089484  1.215365
467   1  0.5250  15.109989 18.605730  8.510957
468   1  0.5250  12.539918 17.121976 15.806549
469   1  0.5250   9.969847 15.638222 23.102141
470   1  0.5250   7.399776 14.154468 30.397733
471   1  0.5250  17.686528 26.041217  1.215365
472   1  0.5250  15.116457 24.557463  8.510957
473   1  0.5250  12.546386 23.073709 15.806549
474   1  0.5250   9.976315 21.589955 23.102141
475   1  0.5250   7.406244 20.106201 30.397733
476   1  0.5250  22.828370  2.234285  1.215365
477   1  0.5250  20.258299  0.750531  8.510957
478   1  0.5250  17.688228 -0.733223 15.806549
479   1  0.5250  15.118157 -2.216977 23.102141
480   1  0.5250  12.548086 -3.700731 30.397733
481   1  0.5250  22.834838  8.186018  1.215365
482   1  0.5250  20.264767  6.702264  8.510957
483   1  0.5250  17.694696  5.218510 15.806549
484   1  0.5250  15.124625  3.734756 23.102141
485   1  0.5250  12.554554  2.251002 30.397733
486   1  0.5250  22.841306 14.137751  1.215365
487   1  0.5250  20.271235 12.653997  8.510957
488   1  0.5250  17.701164 11.170243 15.806549
489   1  0.5250  15.131093  9.686489 23.102141
490   1  0.5250  12.561022  8.202735 30.397733
491   1  0.5250  22.847774 20.089484  1.215365
492   1  0.5250  20.277703 18.605730  8.510957
493   1  0.5250  17.707632 17.121976 15.806549
494   1  0.5250  15.137561 15.638222 23.102141
495   1  0.5250  12.567490 14.154468 30.397733
496   1  0.5250  22.854242 26.041217  1.215365
497   1  0.5250  20.284171 24.557463  8.510957
498   1  0.5250  17.714100 23.073709 15.806549
499   1  0.5250  15.144029 21.589955 23.102141
500   1  0.5250  12.573958 20.106201 30.397733
501   1  0.5250   0.446435 -0.732210  6.083831
502   1  0.5250  -2.123636 -2.215964 13.379423
503   1  0.5250  -4.693707 -3.699718 20.675015
504   1  0.5250  -7.263778 -5.183472 27.970607
505   1  0.5250  -9.833849 -6.667226 35.266199
506   1  0.5250   0.452903  5.219523  6.083831
507   1  0.5250  -2.117168  3.735769 13.379423
508   1  0.5250  -4.687239  2.252015 20.675015
509   1  0.5250  -7.257310  0.768261 27.970607
510   1  0.5250  -9.827381 -0.715493 35.266199
511   1  0.5250   0.459371 11.171256  6.083831
512   1  0.5250  -2.110700  9.687502 13.379423
513   1  0.5250  -4.680771  8.203748 20.675015
514   1  0.5250  -7.250842  6.719994 27.970607
515   1  0.5250  -9.820913  5.236240 35.266199
516   1  0.5250   0.465839 17.122989  6.083831
517   1  0.5250  -2.104232 15.639235 13.379423
518   1  0.5250  -4.674303 14.155481 20.675015
519   1  0.5250  -7.244374 12.671727 27.970607
520   1  0.5250  -9.814445 11.187973 35.266199
521   1  0.5250   0.472307 23.074722  6.083831
522   1  0.5250  -2.097764 21.590968 13.379423
523   1  0.5250  -4.667835 20.107214 20.675015
524   1  0.5250  -7.237906 18.623460 27.970607
525   1  0.5250  -9.807977 17.139706 35.266199
526   1  0.5250   5.614149 -0.732210  6.083831
527   1  0.5250   3.044078 -2.215964 13.379423
528   1  0.5250   0.474007 -3.699718 20.675015
529   1  0.5250  -2.096064 -5.183472 27.970607
530   1  0.5250  -4.666135 -6.667226 35.266199
